,borrower_type,credit_score,age,county,income,loan_amount,loan_term_months,interest_rate,default_prob,defaulted,loan_purpose
43,Consumer,755,53,Other,140000.0,98580,14,10.9,0.09318181818181817,0,Personal
44,Consumer,738,18,Kisumu,115000.0,72781,8,11.24,0.10090909090909089,0,Business
45,SME,371,32,Nairobi,352000.0,1300989,51,16.58,0.23063636363636364,0,Working Capital
46,SME,808,26,Other,171000.0,2278730,31,7.84,0.11145454545454547,0,Equipment
47,Consumer,754,62,Other,130000.0,152995,20,10.92,0.09363636363636363,0,Education
48,Consumer,823,30,Nairobi,42000.0,109390,13,9.54,0.06227272727272726,0,Emergency
49,Consumer,607,26,Mombasa,12000.0,134810,17,13.86,0.16045454545454543,0,Business
50,Consumer,307,26,Machakos,77000.0,102629,16,19.86,0.2968181818181818,1,Personal
51,Consumer,606,34,Other,51000.0,174370,7,13.879999999999999,0.1609090909090909,0,Business
52,Consumer,588,38,Mombasa,18000.0,131672,17,14.24,0.16909090909090907,0,Medical
53,Consumer,578,42,Other,123000.0,191477,23,14.44,0.17363636363636362,1,Education
54,Consumer,581,22,Kisumu,102000.0,37377,19,14.379999999999999,0.17227272727272727,0,Education
55,Consumer,770,34,Other,54000.0,34484,11,10.6,0.08636363636363636,0,Education
56,Consumer,678,30,Nairobi,84000.0,35406,10,12.44,0.12818181818181817,0,Education
57,Consumer,611,24,Kisumu,20000.0,37329,8,13.78,0.15863636363636363,1,Education
58,Consumer,530,64,Machakos,75000.0,64367,24,15.4,0.19545454545454544,0,Education
59,Consumer,716,20,Machakos,118000.0,193625,7,11.68,0.1109090909090909,0,Personal
60,Consumer,806,46,Other,65000.0,84169,10,9.879999999999999,0.06999999999999998,0,Emergency
61,Consumer,794,50,Nakuru,61000.0,81663,17,10.120000000000001,0.07545454545454544,0,Personal
62,Consumer,302,39,Other,54000.0,78037,22,19.96,0.2990909090909091,0,Business
63,Consumer,614,50,Nairobi,147000.0,37368,9,13.72,0.15727272727272726,0,Business
64,SME,602,33,Nairobi,414000.0,4516744,16,11.96,0.16763636363636364,0,Equipment
65,Consumer,800,36,Nairobi,147000.0,5979,15,10.0,0.07272727272727272,0,Personal
66,Consumer,841,48,Kisumu,62000.0,159230,19,9.18,0.05409090909090908,0,Business
67,Consumer,339,33,Nairobi,88000.0,112999,22,19.22,0.2822727272727273,0,Education
68,Consumer,560,20,Other,57000.0,111584,14,14.8,0.18181818181818182,0,Education
69,SME,688,56,Nakuru,370000.0,2925385,54,10.24,0.1441818181818182,0,Inventory
70,Consumer,304,59,Nairobi,44000.0,54184,18,19.92,0.29818181818181816,0,Education
71,Consumer,364,43,Machakos,123000.0,63645,6,18.72,0.2709090909090909,1,Business
72,Consumer,697,25,Nakuru,41000.0,130190,19,12.06,0.11954545454545454,0,Personal
73,Consumer,759,53,Nairobi,47000.0,171648,12,10.82,0.09136363636363634,0,Personal
74,Consumer,673,50,Nairobi,110000.0,56574,22,12.54,0.13045454545454543,0,Emergency
75,Consumer,370,52,Other,21000.0,38160,22,18.6,0.2681818181818182,0,Education
76,Consumer,502,18,Machakos,70000.0,88595,7,15.96,0.2081818181818182,0,Emergency
77,Consumer,531,35,Nairobi,47000.0,194104,24,15.379999999999999,0.195,0,Personal
78,Consumer,309,20,Nairobi,34000.0,114345,19,19.82,0.2959090909090909,0,Personal
79,Consumer,765,64,Kisumu,77000.0,17167,18,10.7,0.08863636363636362,0,Business
80,Consumer,669,47,Mombasa,100000.0,107352,23,12.62,0.13227272727272726,0,Medical
81,SME,848,53,Nairobi,454000.0,2995580,60,7.04,0.10054545454545455,0,Equipment
82,Consumer,637,65,Nakuru,107000.0,132333,10,13.26,0.14681818181818182,0,Personal
83,Consumer,823,29,Nakuru,94000.0,138285,18,9.54,0.06227272727272726,0,Personal
84,Consumer,436,33,Nairobi,32000.0,33588,7,17.28,0.23818181818181816,0,Business
85,Consumer,373,30,Other,75000.0,75106,19,18.54,0.2668181818181818,1,Personal
86,Consumer,619,61,Nairobi,147000.0,87910,17,13.620000000000001,0.155,0,Emergency
87,Consumer,364,34,Nairobi,127000.0,184091,17,18.72,0.2709090909090909,1,Medical
88,Consumer,814,34,Kisumu,101000.0,53622,17,9.72,0.06636363636363635,0,Personal
89,Consumer,530,52,Other,147000.0,97628,8,15.4,0.19545454545454544,0,Emergency
90,Consumer,670,28,Nairobi,72000.0,55696,18,12.6,0.1318181818181818,0,Medical
91,SME,495,30,Other,467000.0,1302507,51,14.1,0.1968181818181818,0,Working Capital
92,Consumer,833,28,Kisumu,64000.0,142693,10,9.34,0.05772727272727271,0,Emergency
93,Consumer,556,54,Nairobi,147000.0,195782,18,14.879999999999999,0.18363636363636363,1,Personal
94,Consumer,630,53,Other,149000.0,98582,13,13.4,0.15,0,Business
95,Consumer,826,50,Machakos,95000.0,125218,18,9.48,0.060909090909090885,0,Emergency
96,Consumer,688,29,Nakuru,124000.0,42858,12,12.24,0.12363636363636363,0,Education
97,Consumer,438,28,Nairobi,98000.0,18966,20,17.240000000000002,0.23727272727272725,0,Medical
98,SME,787,64,Mombasa,231000.0,1476361,51,8.26,0.11718181818181819,0,Equipment
99,SME,372,55,Nairobi,255000.0,112101,48,16.56,0.23036363636363635,0,Expansion
100,Consumer,551,21,Mombasa,14000.0,131886,8,14.98,0.1859090909090909,0,Education
101,Consumer,331,21,Machakos,110000.0,160761,7,19.38,0.2859090909090909,0,Business
102,SME,504,46,Nairobi,52000.0,4479354,14,13.92,0.19436363636363635,0,Equipment
103,SME,691,58,Nairobi,112000.0,3231584,43,10.18,0.14336363636363636,0,Expansion
104,Consumer,396,27,Nakuru,116000.0,166130,6,18.08,0.25636363636363635,0,Emergency
105,Consumer,639,36,Other,55000.0,71421,22,13.22,0.1459090909090909,0,Personal
106,SME,329,41,Machakos,82000.0,2651464,32,17.42,0.24209090909090908,1,Working Capital
107,Consumer,454,39,Nairobi,44000.0,54233,20,16.92,0.22999999999999998,1,Emergency
108,Consumer,417,21,Nairobi,31000.0,132613,20,17.66,0.2468181818181818,0,Emergency
109,Consumer,820,60,Nairobi,144000.0,164966,14,9.6,0.06363636363636363,0,Medical
110,Consumer,740,64,Machakos,71000.0,59397,19,11.2,0.09999999999999998,1,Business
111,SME,362,49,Nairobi,472000.0,916744,25,16.759999999999998,0.2330909090909091,0,Equipment
112,Consumer,522,52,Nairobi,138000.0,159877,12,15.56,0.1990909090909091,0,Business
113,Consumer,445,37,Other,135000.0,178957,12,17.1,0.23409090909090907,0,Emergency
114,SME,646,68,Kisumu,136000.0,339730,20,11.08,0.15563636363636363,0,Inventory
115,Consumer,817,62,Nairobi,80000.0,87570,18,9.66,0.065,0,Personal
116,Consumer,398,62,Nairobi,86000.0,55269,20,18.04,0.25545454545454543,0,Medical
117,Consumer,622,51,Kisumu,136000.0,160165,17,13.56,0.15363636363636363,0,Business
118,Consumer,531,29,Nakuru,47000.0,97904,22,15.379999999999999,0.195,1,Medical
119,SME,782,38,Other,53000.0,927605,23,8.36,0.11854545454545456,0,Working Capital
120,SME,690,51,Nairobi,107000.0,3865776,29,10.2,0.14363636363636362,0,Inventory
121,SME,709,36,Nakuru,474000.0,3161705,56,9.82,0.13845454545454544,1,Inventory
122,SME,794,58,Mombasa,308000.0,3659058,13,8.120000000000001,0.11527272727272728,0,Expansion
123,Consumer,833,27,Mombasa,31000.0,16976,20,9.34,0.05772727272727271,1,Emergency
124,Consumer,843,33,Other,150000.0,108492,10,9.14,0.05318181818181816,1,Personal
125,SME,697,33,Kisumu,488000.0,3020267,19,10.06,0.14172727272727273,0,Working Capital
126,SME,456,46,Other,209000.0,3014423,54,14.879999999999999,0.20745454545454545,1,Expansion
127,Consumer,597,58,Other,14000.0,58898,20,14.06,0.16499999999999998,0,Emergency
128,Consumer,422,43,Nairobi,87000.0,175671,24,17.56,0.24454545454545454,1,Emergency
129,Consumer,534,33,Other,39000.0,29005,13,15.32,0.1936363636363636,1,Personal
130,SME,446,59,Nakuru,192000.0,1122188,52,15.08,0.2101818181818182,0,Inventory
131,Consumer,510,23,Other,23000.0,47372,23,15.8,0.20454545454545453,0,Business
132,Consumer,763,47,Mombasa,33000.0,151531,22,10.74,0.08954545454545454,0,Business
133,Consumer,711,47,Other,104000.0,56768,7,11.78,0.11318181818181816,1,Business
134,SME,614,41,Nakuru,61000.0,1129902,27,11.72,0.16436363636363638,0,Equipment
135,Consumer,652,34,Kisumu,105000.0,88059,16,12.96,0.13999999999999999,0,Business
136,Consumer,534,33,Kisumu,30000.0,187136,8,15.32,0.1936363636363636,0,Emergency
137,Consumer,365,33,Nakuru,32000.0,44957,8,18.7,0.27045454545454545,0,Personal
138,Consumer,384,18,Nakuru,120000.0,197370,9,18.32,0.2618181818181818,0,Medical
139,Consumer,418,50,Nairobi,126000.0,69941,20,17.64,0.24636363636363634,0,Medical
140,Consumer,843,54,Other,142000.0,21543,20,9.14,0.05318181818181816,0,Education
141,SME,691,38,Nakuru,180000.0,4161050,12,10.18,0.14336363636363636,0,Working Capital
142,SME,656,53,Nairobi,364000.0,1386527,18,10.88,0.15290909090909094,0,Expansion
143,Consumer,630,23,Nairobi,25000.0,125240,22,13.4,0.15,0,Medical
144,Consumer,595,24,Nairobi,34000.0,163048,17,14.1,0.1659090909090909,0,Medical
145,Consumer,425,48,Kisumu,135000.0,86499,16,17.5,0.24318181818181817,1,Emergency
146,Consumer,755,42,Nairobi,41000.0,193244,23,10.9,0.09318181818181817,0,Emergency
147,Consumer,710,22,Nairobi,20000.0,128743,19,11.8,0.11363636363636362,0,Business
148,Consumer,597,24,Nairobi,103000.0,164632,11,14.06,0.16499999999999998,0,Medical
149,SME,768,37,Other,237000.0,1750634,45,8.64,0.12236363636363637,0,Expansion
150,Consumer,381,57,Nairobi,102000.0,191022,19,18.38,0.2631818181818182,0,Business
151,Consumer,757,38,Other,138000.0,36413,19,10.86,0.09227272727272726,0,Personal
152,SME,763,33,Other,209000.0,1869761,18,8.74,0.12372727272727274,0,Inventory
153,Consumer,471,22,Other,15000.0,155558,22,16.58,0.22227272727272726,0,Education
154,Consumer,577,32,Other,125000.0,181625,17,14.46,0.17409090909090907,0,Medical
155,Consumer,642,27,Other,61000.0,17980,15,13.16,0.14454545454545453,0,Business
156,Consumer,617,37,Other,95000.0,190784,10,13.66,0.15590909090909089,0,Business
157,SME,334,68,Mombasa,156000.0,4990774,50,17.32,0.24072727272727273,0,Equipment
158,Consumer,784,51,Nairobi,123000.0,196388,9,10.32,0.07999999999999999,0,Medical
159,SME,829,39,Other,70000.0,3605019,43,7.42,0.10572727272727273,0,Working Capital
160,Consumer,783,60,Other,71000.0,26443,24,10.34,0.08045454545454545,0,Personal
161,Consumer,504,43,Other,116000.0,98615,17,15.92,0.20727272727272728,1,Education
162,Consumer,805,60,Machakos,11000.0,171595,13,9.9,0.07045454545454544,0,Medical
163,Consumer,464,52,Kisumu,140000.0,113658,18,16.72,0.22545454545454546,1,Personal
164,SME,445,69,Other,81000.0,3516027,22,15.1,0.21045454545454545,0,Inventory
165,Consumer,840,58,Other,132000.0,171912,22,9.2,0.054545454545454536,0,Emergency
166,Consumer,800,30,Nairobi,15000.0,103121,21,10.0,0.07272727272727272,0,Medical
167,Consumer,398,52,Nairobi,20000.0,122389,21,18.04,0.25545454545454543,0,Education
168,SME,848,41,Other,177000.0,2393197,26,7.04,0.10054545454545455,0,Expansion
169,Consumer,831,54,Nakuru,34000.0,91678,24,9.379999999999999,0.058636363636363625,0,Personal
170,Consumer,523,64,Kisumu,43000.0,101787,9,15.54,0.1986363636363636,0,Emergency
171,Consumer,358,48,Nakuru,126000.0,166468,14,18.84,0.2736363636363636,0,Personal
172,SME,695,29,Other,241000.0,760666,12,10.1,0.14227272727272727,0,Working Capital
173,Consumer,392,58,Nakuru,52000.0,12253,12,18.16,0.2581818181818182,0,Business
174,Consumer,612,57,Other,103000.0,116649,13,13.76,0.15818181818181817,0,Education
175,Consumer,348,22,Other,25000.0,195569,21,19.04,0.2781818181818182,0,Personal
176,Consumer,589,31,Nairobi,17000.0,57086,16,14.22,0.1686363636363636,1,Personal
177,Consumer,493,32,Other,67000.0,111341,23,16.14,0.21227272727272728,1,Emergency
178,Consumer,318,22,Kisumu,27000.0,91956,22,19.64,0.2918181818181818,1,Education
179,SME,841,35,Other,351000.0,974814,55,7.18,0.10245454545454546,0,Expansion
180,Consumer,662,26,Other,25000.0,174375,14,12.76,0.13545454545454544,0,Medical
181,Consumer,538,22,Nairobi,73000.0,88536,17,15.24,0.1918181818181818,0,Emergency
182,SME,827,67,Machakos,253000.0,3814147,58,7.46,0.1062727272727273,1,Inventory
183,SME,608,39,Nakuru,410000.0,2149856,43,11.84,0.16599999999999998,0,Working Capital
184,SME,630,63,Other,370000.0,2076761,28,11.4,0.16,0,Inventory
185,SME,749,38,Kisumu,434000.0,3456413,21,9.02,0.12754545454545455,0,Inventory
186,Consumer,645,32,Nakuru,46000.0,82710,6,13.1,0.14318181818181816,0,Personal
187,Consumer,570,28,Other,22000.0,11252,17,14.6,0.17727272727272725,0,Medical
188,Consumer,689,58,Kisumu,24000.0,16202,11,12.22,0.12318181818181817,0,Medical
189,SME,794,64,Other,74000.0,957140,44,8.120000000000001,0.11527272727272728,0,Inventory
190,Consumer,558,63,Nakuru,26000.0,159201,9,14.84,0.1827272727272727,1,Personal
191,Consumer,587,25,Kisumu,91000.0,108638,11,14.26,0.16954545454545453,0,Emergency
192,Consumer,662,41,Other,89000.0,126080,9,12.76,0.13545454545454544,0,Education
193,SME,388,56,Kisumu,409000.0,3275923,14,16.240000000000002,0.226,0,Expansion
194,SME,501,48,Kisumu,187000.0,1712962,26,13.98,0.19518181818181818,1,Working Capital
195,SME,384,68,Other,211000.0,4823096,13,16.32,0.2270909090909091,0,Inventory
196,Consumer,335,60,Nairobi,144000.0,85681,13,19.3,0.28409090909090906,0,Personal
197,Consumer,782,42,Kisumu,31000.0,146655,19,10.36,0.0809090909090909,0,Medical
198,Consumer,369,37,Kisumu,29000.0,10158,7,18.62,0.2686363636363636,1,Personal
199,Consumer,714,55,Mombasa,12000.0,166503,21,11.72,0.11181818181818182,0,Personal
200,Consumer,443,21,Kisumu,92000.0,41728,17,17.14,0.235,1,Business
201,Consumer,409,60,Other,149000.0,188495,6,17.82,0.25045454545454543,0,Business
202,Consumer,810,25,Mombasa,25000.0,188260,9,9.8,0.06818181818181818,0,Personal
203,Consumer,500,23,Nairobi,41000.0,130741,15,16.0,0.20909090909090908,1,Emergency
204,Consumer,588,65,Other,56000.0,69644,22,14.24,0.16909090909090907,0,Emergency
205,Consumer,415,42,Other,105000.0,73096,16,17.7,0.2477272727272727,0,Emergency
206,Consumer,512,45,Other,111000.0,188994,21,15.76,0.20363636363636362,0,Emergency
207,Consumer,648,35,Machakos,41000.0,182940,13,13.04,0.14181818181818182,0,Medical
208,SME,441,50,Nairobi,322000.0,2436169,15,15.18,0.21154545454545454,1,Equipment
209,Consumer,374,47,Other,49000.0,6384,7,18.52,0.26636363636363636,0,Emergency
210,Consumer,744,57,Kisumu,11000.0,35143,18,11.12,0.09818181818181818,0,Education
211,Consumer,847,54,Other,133000.0,124128,19,9.06,0.05136363636363636,0,Business
212,SME,444,60,Other,228000.0,2801541,55,15.120000000000001,0.21072727272727274,0,Inventory
213,SME,512,29,Other,357000.0,3420897,45,13.76,0.19218181818181818,0,Inventory
214,SME,439,41,Kisumu,256000.0,4953930,27,15.219999999999999,0.21209090909090908,0,Equipment
215,Consumer,668,63,Other,139000.0,50681,19,12.64,0.13272727272727272,0,Emergency
216,Consumer,396,26,Other,33000.0,64361,6,18.08,0.25636363636363635,0,Emergency
217,Consumer,482,46,Other,14000.0,27043,24,16.36,0.21727272727272726,0,Emergency
218,Consumer,310,49,Machakos,92000.0,169283,23,19.8,0.29545454545454547,0,Personal
219,Consumer,714,64,Other,136000.0,75418,18,11.72,0.11181818181818182,0,Education
220,Consumer,687,51,Nairobi,131000.0,145435,21,12.26,0.12409090909090909,0,Education
221,Consumer,661,41,Kisumu,56000.0,180459,6,12.78,0.1359090909090909,0,Medical
222,Consumer,625,36,Nairobi,60000.0,165463,15,13.5,0.15227272727272725,0,Business
223,Consumer,427,28,Other,68000.0,15049,17,17.46,0.24227272727272725,0,Medical
224,Consumer,359,39,Nakuru,54000.0,59298,24,18.82,0.2731818181818182,0,Education
225,SME,423,46,Nairobi,360000.0,760336,25,15.54,0.21645454545454546,0,Equipment
226,Consumer,379,49,Other,80000.0,142829,16,18.42,0.2640909090909091,0,Education
227,Consumer,716,25,Other,89000.0,12653,17,11.68,0.1109090909090909,0,Personal
228,SME,411,41,Other,401000.0,4534511,43,15.780000000000001,0.21972727272727272,1,Equipment
229,Consumer,415,26,Nairobi,42000.0,161513,11,17.7,0.2477272727272727,0,Education
230,Consumer,793,18,Other,142000.0,132200,10,10.14,0.0759090909090909,0,Emergency
231,Consumer,423,62,Kisumu,107000.0,140593,22,17.54,0.24409090909090908,0,Personal
232,Consumer,306,65,Machakos,105000.0,197267,23,19.88,0.29727272727272724,1,Emergency
233,Consumer,719,34,Mombasa,17000.0,110072,21,11.62,0.10954545454545453,0,Business
234,SME,468,35,Other,55000.0,4830633,52,14.64,0.2041818181818182,0,Equipment
235,Consumer,451,45,Nairobi,105000.0,66035,9,16.98,0.23136363636363635,0,Medical
236,Consumer,620,38,Nairobi,87000.0,149747,12,13.6,0.15454545454545454,0,Business
237,Consumer,507,37,Other,120000.0,139623,8,15.86,0.2059090909090909,0,Education
238,Consumer,831,60,Kisumu,92000.0,143423,13,9.379999999999999,0.058636363636363625,0,Business
239,Consumer,381,41,Other,19000.0,197579,10,18.38,0.2631818181818182,1,Emergency
240,Consumer,715,39,Kisumu,21000.0,167419,16,11.7,0.11136363636363636,0,Business
241,Consumer,791,25,Nakuru,109000.0,124455,17,10.18,0.07681818181818181,0,Education
242,Consumer,437,24,Nairobi,17000.0,79632,16,17.259999999999998,0.23772727272727273,0,Education
243,Consumer,604,55,Kisumu,74000.0,118979,11,13.92,0.1618181818181818,0,Emergency
244,Consumer,711,55,Mombasa,131000.0,137912,6,11.78,0.11318181818181816,0,Personal
245,SME,574,59,Nairobi,260000.0,217990,38,12.52,0.17527272727272727,0,Expansion
246,SME,623,35,Other,381000.0,2345807,45,11.54,0.1619090909090909,1,Inventory
247,Consumer,770,24,Other,128000.0,148700,22,10.6,0.08636363636363636,0,Personal
248,SME,501,30,Nairobi,257000.0,2470869,28,13.98,0.19518181818181818,0,Equipment
249,SME,415,44,Nakuru,87000.0,3360227,59,15.7,0.21863636363636363,0,Working Capital
250,Consumer,542,21,Other,118000.0,93133,7,15.16,0.19,1,Personal
251,Consumer,676,33,Mombasa,83000.0,42773,6,12.48,0.1290909090909091,0,Medical
252,Consumer,649,34,Kisumu,22000.0,180809,23,13.02,0.14136363636363636,1,Medical
253,Consumer,709,47,Other,124000.0,113526,6,11.82,0.11409090909090908,0,Emergency
254,Consumer,774,41,Nairobi,86000.0,37938,7,10.52,0.08454545454545453,0,Medical
255,Consumer,625,24,Other,96000.0,151294,10,13.5,0.15227272727272725,0,Medical
256,SME,797,65,Kisumu,215000.0,1628807,34,8.06,0.11445454545454545,0,Inventory
257,Consumer,845,45,Nakuru,20000.0,56122,15,9.1,0.05227272727272725,0,Emergency
258,SME,316,42,Nairobi,61000.0,3469492,41,17.68,0.24563636363636362,0,Inventory
259,SME,519,59,Kisumu,184000.0,1493968,57,13.620000000000001,0.19027272727272726,0,Working Capital
260,SME,735,53,Other,498000.0,1269760,29,9.3,0.13136363636363638,0,Working Capital
261,SME,722,55,Nairobi,178000.0,4621357,55,9.56,0.13490909090909092,0,Working Capital
262,Consumer,681,61,Mombasa,43000.0,90824,12,12.38,0.1268181818181818,0,Business
263,SME,310,43,Other,292000.0,4190909,30,17.8,0.24727272727272728,1,Working Capital
264,SME,565,59,Nairobi,363000.0,593907,15,12.7,0.17772727272727273,0,Working Capital
265,Consumer,674,39,Nakuru,43000.0,26292,24,12.52,0.12999999999999998,0,Emergency
266,Consumer,669,22,Nakuru,35000.0,169358,12,12.62,0.13227272727272726,0,Education
267,Consumer,618,33,Mombasa,83000.0,181895,9,13.64,0.15545454545454546,0,Medical
268,SME,397,31,Other,400000.0,458727,21,16.06,0.22354545454545455,0,Equipment
269,Consumer,773,53,Other,65000.0,63347,9,10.54,0.08499999999999999,1,Education
270,Consumer,319,44,Nairobi,126000.0,64678,11,19.62,0.2913636363636364,0,Business
271,Consumer,413,30,Nairobi,137000.0,50293,9,17.740000000000002,0.24863636363636363,0,Education
272,SME,641,36,Mombasa,66000.0,918246,14,11.18,0.157,0,Expansion
273,SME,828,25,Mombasa,52000.0,4069079,36,7.4399999999999995,0.10600000000000001,0,Working Capital
274,Consumer,733,48,Mombasa,52000.0,147260,8,11.34,0.10318181818181818,0,Emergency
275,Consumer,811,59,Other,135000.0,120022,20,9.78,0.06772727272727272,0,Personal
276,Consumer,809,41,Nakuru,85000.0,39016,11,9.82,0.06863636363636363,0,Emergency
277,Consumer,302,62,Nairobi,88000.0,160346,23,19.96,0.2990909090909091,1,Medical
278,Consumer,425,35,Other,41000.0,139637,22,17.5,0.24318181818181817,0,Emergency
279,Consumer,385,63,Other,30000.0,111566,13,18.3,0.26136363636363635,0,Medical
280,SME,819,49,Other,174000.0,662183,49,7.62,0.10845454545454547,0,Equipment
281,SME,464,65,Other,207000.0,3585720,29,14.719999999999999,0.20527272727272727,0,Inventory
282,Consumer,822,25,Other,13000.0,191014,18,9.56,0.06272727272727271,0,Education
283,Consumer,806,40,Mombasa,115000.0,99430,9,9.879999999999999,0.06999999999999998,0,Education
284,Consumer,699,43,Mombasa,141000.0,6199,24,12.02,0.11863636363636362,0,Personal
285,Consumer,721,55,Nairobi,124000.0,154021,20,11.58,0.10863636363636361,0,Medical
286,Consumer,804,63,Other,103000.0,46796,22,9.92,0.0709090909090909,0,Emergency
287,Consumer,684,25,Other,31000.0,101006,8,12.32,0.12545454545454543,1,Emergency
288,SME,789,67,Nairobi,54000.0,2426615,23,8.22,0.11663636363636365,0,Inventory
289,Consumer,773,24,Nakuru,107000.0,165317,18,10.54,0.08499999999999999,0,Business
290,Consumer,476,32,Other,64000.0,11619,12,16.48,0.21999999999999997,1,Education
291,Consumer,610,51,Other,43000.0,82398,19,13.8,0.1590909090909091,0,Education
292,Consumer,550,58,Nairobi,67000.0,143884,6,15.0,0.18636363636363634,0,Business
293,Consumer,641,29,Nairobi,121000.0,42959,16,13.18,0.145,0,Business
294,SME,668,47,Other,299000.0,4042391,29,10.64,0.14963636363636362,0,Equipment
295,Consumer,601,42,Other,86000.0,153843,17,13.98,0.16318181818181818,0,Medical
296,Consumer,508,45,Other,20000.0,157050,16,15.84,0.20545454545454545,1,Medical
297,Consumer,789,28,Nairobi,87000.0,58319,17,10.22,0.07772727272727273,1,Personal
298,Consumer,388,56,Machakos,134000.0,126021,18,18.240000000000002,0.26,0,Personal
299,Consumer,560,27,Mombasa,142000.0,122500,13,14.8,0.18181818181818182,0,Emergency
300,Consumer,402,27,Nairobi,58000.0,76615,15,17.96,0.2536363636363636,1,Emergency
301,Consumer,567,19,Other,60000.0,75009,9,14.66,0.17863636363636362,0,Medical
302,Consumer,562,36,Kisumu,127000.0,31400,19,14.76,0.1809090909090909,0,Emergency
303,Consumer,529,20,Kisumu,96000.0,109374,18,15.42,0.1959090909090909,0,Medical
304,Consumer,393,57,Other,129000.0,85507,15,18.14,0.2577272727272727,1,Education
305,Consumer,573,40,Other,76000.0,104459,23,14.54,0.1759090909090909,0,Business
306,SME,534,45,Mombasa,374000.0,4796530,51,13.32,0.18618181818181817,0,Expansion
307,Consumer,361,53,Mombasa,123000.0,97883,23,18.78,0.2722727272727273,0,Education
308,SME,338,59,Nairobi,336000.0,4952503,42,17.240000000000002,0.23963636363636365,0,Inventory
